詞語	吳拼
弗是俉	vaq zy ng
弗是俉	vaq zy ng
勿是爾	vaq zy ng
勿是爾	vaq zy ng
弗是爾	vaq zy ng
弗是爾	vaq zy ng
不是其他人	paq zy ji tha gnin
不是其它人	paq zy ji tha gnin
勿是其他人	vaq zy ji tha gnin
勿是其它人	vaq zy ji tha gnin
弗是其他人	vaq zy ji tha gnin
弗是其它人	vaq zy ji tha gnin
勿是嘸沒	vaq zy mhiq
弗是嘸沒	vaq zy mhiq
不是滋味	paq zy tsy vi
勿是滋味	vaq zy tsy vi
弗是滋味	vaq zy tsy vi
不更事	paq ken zy
勿更事	vaq ken zy
弗更事	vaq ken zy
不曾	paq dzen
不曾在	paq dzen dze
不曾有	paq dzen yeu
不曾有過	paq dzen yeu kou
勿曾	vaq dzen
勿曾在	vaq dzen dze
勿曾來	vaq dzen le
勿曾有	vaq dzen yeu
勿曾有過	vaq dzen yeu kou
弗曾	vaq dzen
弗曾在	vaq dzen dze
弗曾來	vaq dzen le
弗曾有	vaq dzen yeu
弗曾有過	vaq dzen yeu kou
不會吧	paq wei pa
不會忘記	paq wei maon ci
勿會忘記	vaq wei maon ci
弗會忘記	vaq wei maon ci
𣍐忘記	vei maon ci
不材	paq dze
不樂	paq loq
不樂於	paq loq yu
不樂觀	paq loq kun
勿樂	vaq loq
勿樂於	vaq loq yu
勿樂觀	vaq loq kun
弗樂	vaq loq
弗樂於	vaq loq yu
弗樂觀	vaq loq kun
勿止於此	vaq tsy yu tshy
弗止於此	vaq tsy yu tshy
不正常狀況	paq cin dzaon dzaon huaon
勿正常狀況	vaq cin dzaon dzaon huaon
弗正常狀況	vaq cin dzaon dzaon huaon
不正當競爭	paq cin taon jin tsen
勿正當競爭	vaq cin taon jin tsen
弗正當競爭	vaq cin taon jin tsen
不正確	paq cin chiuq
勿正確	vaq cin chiuq
弗正確	vaq cin chiuq
不死心	paq sy shin
勿死	vaq shi
勿死勿活	vaq shi vaq waq
勿死心	vaq sy shin
弗死	vaq shi
弗死弗活	vaq shi vaq waq
弗死心	vaq sy shin
不法分子	paq faq ven tsy
不法行爲	paq faq ghan wei
不準確	paq tsyun chiuq
不爭氣	paq tsan chi
勿爭氣	vaq tsan chi
弗爭氣	vaq tsan chi
不爲人知	paq wei zyun tsyu
不爲牛後	paq wei ngeu gheu
不甘後人	paq kI gheu zyun
不甚了了	paq zhin liau liau
勿生	vaq san
弗生	vaq san
不生不死	paq sen paq sy
不生不死	paq sen paq shi
不生不滅	paq sen paq miq
不由分說	paq yeu fen syuq
不由自主	paq yeu zy tsyu
不當人	paq taon gnin
勿當人	vaq taon gnin
弗當人	vaq taon gnin
不登大雅之堂	paq ten da ia tsy daon
勿登大雅之堂	vaq ten da ia tsy daon
弗登大雅之堂	vaq ten da ia tsy daon
不發達國家	paq faq daq koq cia
勿發達國家	vaq faq daq koq cia
弗發達國家	vaq faq daq koq cia
不省人事	paq shin zyun zy
勿省人事	vaq shin zyun zy
弗省人事	vaq shin zyun zy
不真不假	paq cin paq ko
勿真勿假	vaq cin vaq ko
弗真弗假	vaq cin vaq ko
勿着	vaq jiaq
勿着	vaq dzoq
勿着	vaq zyuq
弗着	vaq jiaq
弗着	vaq dzoq
弗着	vaq zyuq
不急	paq ciq
勿急	vaq ciq
弗急	vaq ciq
不着痕跡	paq dzoq ghen ciq
不着邊際	paq dzoq pi ci
不着陸飛行	paq dzoq loq fi yin
不着痕跡	paq zyuq ghen ciq
不着邊際	paq zyuq pi ci
不着陸飛行	paq zyuq loq fi yin
勿着痕跡	vaq dzoq ghen ciq
勿着邊際	vaq dzoq pi ci
勿着陸飛行	vaq dzoq loq fi yin
勿着痕跡	vaq zyuq ghen ciq
勿着邊際	vaq zyuq pi ci
勿着陸飛行	vaq zyuq loq fi yin
弗着痕跡	vaq dzoq ghen ciq
弗着邊際	vaq dzoq pi ci
弗着陸飛行	vaq dzoq loq fi yin
弗着痕跡	vaq zyuq ghen ciq
弗着邊際	vaq zyuq pi ci
弗着陸飛行	vaq zyuq loq fi yin
不睡覺	paq zei ciau
勿睏覺	vaq khuen kau
弗睏覺	vaq khuen kau
不瞭解	paq liau ka
不瞭解	paq liau cia
勿瞭解	vaq liau ka
勿瞭解	vaq liau cia
弗瞭解	vaq liau ka
弗瞭解	vaq liau cia
不知不覺	paq tsyu paq ciuq
勿曉得啥原因	vaq shiau taq so gniu in
勿曉得啥原因	vaq shiau taq soq gniu in
勿曉得啥原因	vaq shiau taq sou gniu in
弗曉得啥原因	vaq shiau taq so gniu in
弗曉得啥原因	vaq shiau taq soq gniu in
弗曉得啥原因	vaq shiau taq sou gniu in
不知分寸	paq tsyu fen tshen
不知去向	paq tsyu chiu shian
勿知去向	vaq tsyu chiu shian
弗知去向	vaq tsyu chiu shian
不知死活	paq tsyu shi waq
不知自愛	paq tsyu zy e
不知鹿死誰手	paq tsyu loq sy zei shieu
不確	paq chiuq
不確定	paq chiuq din
不確定性	paq chiuq din shin
不確定性原理	paq chiuq din shin gniu li
不確定感	paq chiuq din kI
不確定故意	paq chiuq din ku i
不確實	paq chiuq zyuq
不科學	paq khou yuq
勿科學	vaq khou yuq
弗科學	vaq khou yuq
不等價交換	paq ten ko ciau wun
勿等價交換	vaq ten ko ciau wun
弗等價交換	vaq ten ko ciau wun
不管三七二十一	paq kun sae chiq er zyuq iq
勿等於	vaq ten yu
弗等於	vaq ten yu
勿管三七廿一	vaq kun sae chiq nE iq
弗管三七廿一	vaq kun sae chiq nE iq
不簡單	paq ci tae
勿簡單	vaq ci tae
弗簡單	vaq ci tae
不結盟國家	paq ciq men koq cia
不絕於耳	paq dzyuq yu er
不經一事不長一智	paq cin iq zy paq cian iq tsyu
不經意間	paq cin i ci
不繫	paq ci
不繫舟	paq ci cieu
勿習慣	vaq zhiq kuae
勿習慣	vaq zyuq kuae
弗習慣	vaq zhiq kuae
弗習慣	vaq zyuq kuae
不肯去	paq khen chi
勿肯去	vaq khen chi
弗肯去	vaq khen chi
不能忘記	paq nen maon ci
不能確定	paq nen chiuq din
不能自制	paq nen zy tsyu
不能自己	paq nen zy ci
不能自已	paq nen zy yi
不能自拔	paq nen zy baq
不能言傳	paq nen yi dzOE
忘記勿來	maon ci vaq le
定勿落來	din vaq loq le
忘記弗來	maon ci vaq le
定弗落來	din vaq loq le
不自	paq zy
不自主	paq zy tsyu
不自在	paq zy dze
不自然	paq zy zoe
不自由	paq zy yeu
不自禁	paq zy cin
不自覺	paq zy ciuq
勿自	vaq zy
勿自由	vaq zy yeu
勿自覺	vaq zy ciuq
弗自	vaq zy
弗自由	vaq zy yeu
弗自覺	vaq zy ciuq
不自量	paq zy lian
不自量力	paq zy lian liq
勿至於	vaq tsy yu
勿致於	vaq tsy yu
弗至於	vaq tsy yu
弗致於	vaq tsy yu
不良習慣	paq lian zhiq kuae
不良習慣	paq lian zyuq kuae
不落人後	paq loq gnin gheu
不虛此生	paq shiu tshy sen
不虛此行	paq shiu tshy yin
勿良習慣	vaq lian zhiq kuae
勿良習慣	vaq lian zyuq kuae
弗良習慣	vaq lian zhiq kuae
弗良習慣	vaq lian zyuq kuae
不虧	paq khuei
不行	paq yin
不行了	paq yin lei
不被	paq bei
勿虧	vaq khuei
勿行	vaq yin
勿行了	vaq yin lei
勿被	vaq bei
弗虧	vaq khuei
弗行	vaq yin
弗行了	vaq yin lei
弗被	vaq bei
不要去	paq iau chi
覅去	fe chi
𧟰去	fe chi
莫去	mhau chi
莫去	mau chi
不要問	paq iau men
覅問	fe men
𧟰問	fe men
莫問	mhau men
莫問	mau men
不要忘記	paq iau vaon ci
莫忘記	mhau maon ci
莫忘記	mau maon ci
不要輕易	paq iau chin yi
不見世面	paq ci syu mi
不見了	paq ci lei
不見天日	paq ci thi zyuq
不見棺材不掉淚	paq ci kun ze paq diau lei
不見棺材不落淚	paq ci kun ze paq loq lei
勿見天日	vaq ci thi zyuq
勿見棺材勿掉淚	vaq ci kun ze vaq diau lei
勿見棺材勿落淚	vaq ci kun ze vaq loq lei
弗見天日	vaq ci thi zyuq
弗見棺材弗掉淚	vaq ci kun ze vaq diau lei
弗見棺材弗落淚	vaq ci kun ze vaq loq lei
不見經傳	paq ci cin dzOE
不覺	paq ciuq
不覺察	paq ciuq tshaq
不覺得	paq ciuq taq
勿見經傳	vaq ci cin dzOE
勿覺	vaq ciuq
勿覺察	vaq ciuq tshaq
勿覺得	vaq ciuq taq
弗見經傳	vaq ci cin dzOE
弗覺	vaq ciuq
弗覺察	vaq ciuq tshaq
弗覺得	vaq ciuq taq
不言自明	paq yi zy min
不該	paq ke
勿該	vaq ke
弗該	vaq ke
不認	paq gnin
不認人	paq gnin gnin
不認帳	paq gnin cian
不認賬	paq gnin cian
勿認	vaq gnin
勿認人	vaq gnin gnin
勿認帳	vaq gnin cian
勿認賬	vaq gnin cian
弗認	vaq gnin
弗認人	vaq gnin gnin
弗認帳	vaq gnin cian
弗認賬	vaq gnin cian
不誤	paq nu
勿誤	vaq nu
弗誤	vaq nu
不誤	paq wu
勿誤	vaq wu
弗誤	vaq wu
不說自明	paq syuq zy min
勿調和	vaq diau ghou
弗調和	vaq diau ghou
不請自來	paq chin zy le
勿請自來	vaq chin zy le
弗請自來	vaq chin zy le
不識大體	paq shiq da thi
不讓人	paq gnian gnin
勿讓人	vaq gnian gnin
弗讓人	vaq gnian gnin
不讓鬚眉	paq gnian syu mei
勿讓鬚眉	vaq gnian syu mei
弗讓鬚眉	vaq gnian syu mei
不負衆望	paq veu tson vaon
勿負責任	vaq veu tsaq zyun
弗負責任	vaq veu tsaq zyun
勿負責任	vaq veu tsaq gnin
弗負責任	vaq veu tsaq gnin
不貳	paq er
不貳過	paq er kou
勿貴	vaq ciu
弗貴	vaq ciu
不費吹灰之力	paq fi tshei huei tsy liq
勿費吹灰之力	vaq fi tshei huei tsy liq
弗費吹灰之力	vaq fi tshei huei tsy liq
不足爲外人道	paq tsoq wei nga zyun dau
不足爲外人道也	paq tsoq wei nga zyun dau ye
不足道也	paq tsoq dau ye
不跟人	paq ken gnin
勿跟人	vaq ken gnin
弗跟人	vaq ken gnin
不近人情	paq jin zyun jin
勿透明水彩畫	vaq theu min syu tshe wo
弗透明水彩畫	vaq theu min syu tshe wo
勿透水	vaq theu syu
弗透水	vaq theu syu
不通人情	paq thon zyun jin
不進去	paq cin chi
不過去	paq kou chi
不過爾爾	paq kou er er
勿進去	vaq cin chi
勿過去	vaq kou chi
弗進去	vaq cin chi
弗過去	vaq kou chi
勿遲	vaq dzy
勿遲	vaq ji
弗遲	vaq dzy
弗遲	vaq ji
勿長	vaq cian
勿長	vaq jian
弗長	vaq cian
弗長	vaq jian
不長一智	paq cian iq tsyu
勿長一智	vaq cian iq tsyu
弗長一智	vaq cian iq tsyu
不長不短	paq cian paq toe
勿長勿短	vaq cian vaq toe
弗長弗短	vaq cian vaq toe
不間斷	paq ci doe
不間斷電源	paq ci doe di gniu
勿間斷	vaq ci doe
勿間斷電源	vaq ci doe di gniu
弗間斷	vaq ci doe
弗間斷電源	vaq ci doe di gniu
勿防	vaq baon
弗防	vaq baon
勿防	vaq vaon
弗防	vaq vaon
不降反升	paq ciaon fae shin
勿降	vaq ghaon
勿降	vaq ciaon
勿降反升	vaq ciaon fae shin
弗降	vaq ghaon
弗降	vaq ciaon
弗降反升	vaq ciaon fae shin
不隨大流	paq zei da lieu
不顧大局	paq ku da jiuq
不食人間煙火	paq zhiq zyun ci i hou
勿限於	vaq ghae yu
弗限於	vaq ghae yu
勿飽和	vaq pau ghou
勿飽和脂肪酸	vaq pau ghou tsy faon soe
弗飽和	vaq pau ghou
弗飽和脂肪酸	vaq pau ghou tsy faon soe
不龜手藥	paq kuei shieu yaq
不龜藥	paq kuei yaq
丑日	chieu gniq
且聽下回分解	chie thin gho wei fen ka
且聽下回分解	chie thin gho wei fen cia
世上	syu zaon
世上無難事	syu zaon vu nae zy
世上無難事	syu zaon Wu nae zy
世上無難事只怕有心人	syu zaon vu nae zy ciq pho yeu shin gnin
世上無難事只怕有心人	syu zaon Wu nae zy ciq pho yeu shin gnin
世世	syu syu
世世代代	syu syu de de
世主	syu tsyu
世乒賽	syu phin se
世亂識忠臣	syu loe shiq tson jin
世事	syu zy
世交	syu ciau
世仇	syu jieu
世代	syu de
世代交替	syu de ciau thi
世代相傳	syu de shian dzOE
世伯	syu paq
世俗	syu dzoq
世俗主義	syu dzoq tsyu gni
世俗之見	syu dzoq tsy ci
世俗諦	syu dzoq ti
世傳	syu dzOE
世儒	syu zyu
世兄	syu shion
世典	syu ti
世出世	syu tshyuq syu
世務	syu vu
世務	syu Wu
世博	syu poq
世博會	syu poq wei
世及	syu jiq
世叔	syu soq
世味	syu vi
世外	syu nga
世外桃源	syu nga dau gniu
世外桃花源	syu nga dau huo gniu
世好	syu hau
世婦	syu vu
世子	syu tsy
世宗	syu tson
世宗大王	syu tson da waon
世家	syu ko
世家子弟	syu ko tsy di
世家	syu cia
世家子弟	syu cia tsy di
世尊	syu tsen
世局	syu jiuq
世居	syu ciu
世弊	syu bi
世弟	syu di
世德	syu taq
世情	syu jin
世情看冷暖	syu jin khI lan noe
世態	syu the
世態人情	syu the zyun jin
世態炎涼	syu the yi lian
世所周知	syu so cieu tsyu
世故	syu ku
世教	syu ciau
世敵	syu diq
世新	syu shin
世新大學	syu shin da ghoq
世族	syu dzoq
世業	syu gniq
世母	syu meu
世法	syu faq
世爵	syu ciaq
世父	syu vu
世牒	syu diaq
世田谷	syu di koq
世界	syu ka
世界一流	syu ka iq lieu
世界上	syu ka zaon
世界上最	syu ka zaon tsei
世界上頂	syu ka zaon tin
世界主義	syu ka tsyu gni
世界之窗	syu ka tsy tshaon
世界人	syu ka gnin
世界人權宣言	syu ka zyun jiu soe yi
世界先進水平	syu ka shi cin sei bin
世界冠軍	syu ka kun ciun
世界博覽會	syu ka poq lae wei
世界反共聯盟	syu ka fae gon li men
世界史	syu ka sy
世界各國	syu ka koq koq
世界各地	syu ka koq di
世界和平	syu ka ghou bin
世界地圖	syu ka di du
世界地球日	syu ka di jieu gniq
世界報	syu ka pau
世界大同	syu ka da don
世界大學生運動會	syu ka da ghoq san yun don wei
世界大戰	syu ka da ci
世界大戰	syu ka da tsoe
世界小姐選美	syu ka shiau cia soe mei
世界屋脊	syu ka oq ciq
世界展望會	syu ka ci vaon wei
世界展望會	syu ka tsoe vaon wei
世界市場	syu ka zy jian
世界強國	syu ka jian koq
世界性	syu ka shin
世界排名	syu ka ba min
世界文化	syu ka ven huo
世界文化遺產	syu ka ven huo yi tshae
世界文化遺產地	syu ka ven huo yi tshae di
世界新專	syu ka shin tsoe
世界新聞傳播學院	syu ka shin ven dzOE pou yuq yu
世界新聞專科學校	syu ka shin ven tsoe khou ghoq yau
世界新聞職業學校	syu ka shin ven ciq gniq ghoq yau
世界旅遊組織	syu ka li yeu tsu ciq
世界日報	syu ka zyuq pau
世界時	syu ka zy
世界最大	syu ka tsei da
世界頂大	syu ka tin dou
世界末日	syu ka maq zyuq
世界歷史	syu ka liq sy
世界氣象組織	syu ka chi zhian tsu ciq
世界海關組織	syu ka he kuae tsu ciq
世界潮流	syu ka jiau lieu
世界的語言	syu ka tiq gniu yi
世界個語言	syu ka goq gniu yi
世界個語言	syu ka ghoq gniu yi
世界盃	syu ka pei
世界盃賽	syu ka pei se
世界知名	syu ka tsyu min
世界知識產權組織	syu ka tsyu shiq tshae jiu tsu ciq
世界第一	syu ka di iq
世界範圍	syu ka vae wei
世界糧食署	syu ka lian zhiq zyu
世界紀錄	syu ka ci loq
世界級	syu ka ciq
世界經濟	syu ka cin ci
世界經濟危機	syu ka cin ci wei ci
世界經濟論壇	syu ka cin ci len dae
世界維吾爾代表大會	syu ka vi NU er de piau da wei
世界維吾爾代表大會	syu ka vi WU er de piau da wei
世界聞名	syu ka ven min
世界自然基金會	syu ka zy zoe ci cin wei
世界華文文學獎	syu ka wo ven ven yuq cian
世界著名	syu ka tsyu min
世界衛生大會	syu ka wei sen da wei
世界衛生組織	syu ka wei sen tsu ciq
世界裏	syu ka li
世界觀	syu ka kun
世界語	syu ka gniu
世界變暖	syu ka pi noe
世界貨幣	syu ka hou bi
世界貿易	syu ka meu yiq
世界貿易中心	syu ka meu yiq tson shin
世界貿易大樓	syu ka meu yiq da leu
世界貿易組織	syu ka meu yiq tsu ciq
世界運動會	syu ka yun don wei
世界遺產	syu ka yi tshae
世界野生生物基金會	syu ka ya sen sen vaq ci cin wei
世界金融中心	syu ka cin yon tson shin
世界銀行	syu ka gnin ghaon
世界頂級	syu ka tin ciq
世盟	syu men
世祚	syu dzu
世祿	syu loq
世祿之家	syu loq tsy cia
世系	syu shi
世紀	syu ci
世紀初	syu ci tshu
世紀末	syu ci maq
世紀末年	syu ci maq gni
世紀鐘	syu ci tson
世紀鐘錶	syu ci tson piau
世維會	syu vi wei
世綵堂	syu tshe daon
世胄	syu jieu
世臣	syu jin
世臺	syu de
世臺會	syu de wei
世行	syu ghan
世衛	syu wei
世衛組織	syu wei tsu ciq
世表	syu piau
世衰道微	syu se dau vi
世襲	syu zhiq
世襲君主國	syu zhiq ciun tsyu koq
世親	syu chin
世說新語	syu syuq shin gniu
世誼	syu gni
世講	syu kaon
世譜	syu pu
世貿	syu meu
世貿中心	syu meu tson shin
世貿中心大樓	syu meu tson shin da leu
世貿大廈	syu meu da gho
世貿大樓	syu meu da leu
世貿組織	syu meu tsu ciq
世路	syu lu
世運	syu yun
世運會	syu yun wei
世道	syu dau
世道人心	syu dau zyun shin
世道人情	syu dau zyun jin
世銀	syu gnin
世錦賽	syu cin se
世間	syu ci
世間法	syu ci faq
世阿彌	syu o mi
世隔絕	syu kaq dzyuq
世青賽	syu chin se
世面	syu mi
世風	syu fon
世風不古	syu fon paq ku
世風日下	syu fon zyuq gho
世風澆薄	syu fon ciau boq
丘吉爾	chieu ciq er
丘爾金	chieu er cin
丘逢甲	chieu von ciaq
丙二醇	pin er zyun
丙綸	pin len
丟上去	tieu zaon chi
丟下去	tieu gho chi
丟落去	tieu loq chi
丟出去	tieu tshyuq chi
丟盔卸甲	tieu khuei shia ciaq
丟盔棄甲	tieu khuei chi ciaq
並上去	bin zaon chi
並不在乎	bin paq dze fu
並勿在乎	bin vaq dze fu
並弗在乎	bin vaq dze fu
並世	bin syu
並世無雙	bin syu vu saon
並世無雙	bin syu Wu saon
並出去	bin tshyuq chi
並回去	bin wei chi
並存着	bin dzen dzoq
並存着	bin dzen zyuq
並從	bin dzon
並日	bin zyuq
並日而食	bin zyuq er zhiq
並未	bin vi
並肩而行	bin ci er yin
並自負	bin zy veu
並行	bin yin
並行不悖	bin yin paq bei
並行口	bin yin kheu
並行程序	bin yin jin zyu
並行計算	bin yin ci soe
並被	bin bei
並進去	bin cin chi
並過去	bin kou chi
中不溜	tson paq lieu
中世	tson syu
中世紀	tson syu ci
中亞國家	tson ia koq cia
中介	tson ka
中介公司	tson ka kon sy
中介子	tson ka tsy
中介所	tson ka so
中介服務	tson ka voq vu
中介服務	tson ka voq Wu
中介機構	tson ka ci keu
中介社團	tson ka dzo doe
中介組織	tson ka tsu ciq
中介費	tson ka fi
中伏	tson voq
中信銀行	tson shin gnin ghaon
中共中央宣傳部	tson gon tson ian soe dzOE bu
中共九大	tson gon cieu da
中分	tson fen
中加	tson cia
中北大學	tson poq da ghoq
中千世界	tson chi syu ka
中南大學	tson nEI da ghoq
中原大學	tson gniu da ghoq
中原標準時間	tson gniu piau tsyun zy ci
中古世紀	tson ku syu ci
中國交通建設	tson koq ciau thon ci shiq
中國交通運輸協會	tson koq ciau thon yun syu yaq wei
中國人	tson koq gnin
中國人壽	tson koq zyun zhieu
中國人大	tson koq zyun da
中國人民	tson koq zyun min
中國人民保險公司	tson koq zyun min pau shi kon sy
中國人民大學	tson koq zyun min da ghoq
中國人民對外友好協會	tson koq zyun min tei nga yeu hau yaq wei
中國人民志願軍	tson koq zyun min tsy gniu ciun
中國人民武裝警察部隊	tson koq zyun min Wu tsaon cin tshaq bu dei
中國人民解放軍	tson koq zyun min cia faon ciun
中國人民解放軍海軍	tson koq zyun min cia faon ciun he ciun
中國人民解放軍空軍	tson koq zyun min cia faon ciun khon ciun
中國人民銀行	tson koq zyun min gnin ghaon
中國伊斯蘭教協會	tson koq i sy lae ciau yaq wei
中國傳統	tson koq dzOE thon
中國光大銀行	tson koq kuaon da gnin ghaon
中國十大	tson koq zyuq da
中國古代四大美女	tson koq ku de sy da mei gniu
中國商業銀行	tson koq saon gniq gnin ghaon
中國國家博物館	tson koq koq cia poq vaq kun
中國國家原子能機構	tson koq koq cia gniu tsy nen ci keu
中國國家地震局	tson koq koq cia di tsyun jiuq
中國國家環保局	tson koq koq cia wae pau jiuq
中國國家環境保護總局	tson koq koq cia wae cin pau wu tson jiuq
中國國家航天局	tson koq koq cia ghaon thi jiuq
中國國防科技信息中心	tson koq koq vaon khou ji shin shiq tson shin
中國地球物理學會	tson koq di jieu vaq li yuq wei
中國地質大學	tson koq di ciq da ghoq
中國地震局	tson koq di tsyun jiuq
中國地震臺	tson koq di tsyun de
中國大百科全書出版社	tson koq da paq khou dzoe syu tshyuq pae dzo
中國大陸	tson koq da loq
中國天主教愛國會	tson koq thi tsyu ciau e koq wei
中國女人	tson koq gniu gnin
中國學生	tson koq ghoq san
中國工人	tson koq kon gnin
中國工商銀行	tson koq kon saon gnin ghaon
中國建設銀行	tson koq ci shiq gnin ghaon
中國政法大學	tson koq cin faq da ghoq
中國教育	tson koq ciau yuq
中國教育網	tson koq ciau yuq maon
中國文化大學	tson koq ven huo da ghoq
中國文化學院	tson koq ven huo yuq yu
中國文學	tson koq ven yuq
中國文學藝術界聯合會	tson koq ven yuq gni zyuq ka li ghaq wei
中國日報	tson koq zyuq pau
中國最大	tson koq tsei da
中國頂大	tson koq tin dou
中國未來	tson koq vi le
中國殘疾人聯合會	tson koq dzae jiq gnin li ghaq wei
中國法學會	tson koq faq yuq wei
中國海事專科學校	tson koq he zy tsoe khou ghoq yau
中國男人	tson koq nEI gnin
中國社會科學院	tson koq dzo wei khou yuq yu
中國科學院	tson koq khou yuq yu
中國船舶貿易公司	tson koq ZOE boq meu yiq kon sy
中國船舶重工集團公司	tson koq ZOE boq dzon kon jiq doe kon sy
中國農業銀行	tson koq non gniq gnin ghaon
中國農民銀行	tson koq non min gnin ghaon
中國進出口銀行	tson koq cin tshyuq kheu gnin ghaon
